"titulo" "estrato.antigo" "qIF" "estrato.novo" "pontos"
"96" "Journal of Ecology" "A1" 97 "A1" 100
"97" "Journal of Ethnopharmacology" "A1" 82 "A2" 100
"98" "Journal of Evolutionary Biology" "A1" 79 "A2" 100
"99" "Journal of Experimental Botany" "A1" 96 "A1" 100
"100" "Journal of Experimental Marine Biology and Ecology" "A1" 78 "A2" 100
"101" "Journal of Hazardous Materials" "A1" 99 "A1" 100
"102" "Journal of Human Evolution" "A1" 97 "A1" 100
"103" "Journal of Infectious Diseases" "A1" 89 "A1" 100
"104" "Journal of Investigative Dermatology" "A1" 98 "A1" 100
"105" "Journal of Natural Products" "A1" 98 "A1" 100
"106" "Journal of Pest Science" "A1" 98 "A1" 100
"107" "Journal of Phycology" "A1" 84 "A2" 100
"108" "Journal of the Science of Food and Agriculture" "A1" 85 "A2" 100
"109" "Journal of Vegetation Science" "A1" 86 "A2" 100
"110" "Landscape and Urban Planning" "A1" 98 "A1" 100
"111" "Landscape Ecology" "A1" 96 "A1" 100
"112" "Limnology and Oceanography" "A1" 96 "A1" 100
"113" "Mammal Review" "A1" 99 "A1" 100
"114" "Marine Biology" "A1" 74 "A3" 100
"115" "Marine Chemistry" "A1" 89 "A1" 100
"116" "Marine Ecology - Progress Series" "A1" 80 "A2" 100
"117" "Marine Pollution Bulletin" "A1" 95 "A1" 100
"118" "Methods in Ecology and Evolution" "A1" 98 "A1" 100
"119" "Microbial Ecology" "A1" 90 "A1" 100
"120" "Molecular Biology and Evolution" "A1" 99 "A1" 100
"121" "Molecular Ecology" "A1" 96 "A1" 100
"122" "Molecular Ecology Resources" "A1" 97 "A1" 100
"123" "Molecular Phylogenetics and Evolution" "A1" 93 "A1" 100
"124" "Molecular Plant" "A1" 98 "A1" 100
"125" "Molecular Plant Pathology" "A1" 95 "A1" 100
"126" "Molecular Plant-Microbe Interactions" "A1" 92 "A1" 100
"127" "Monthly Notices of the Royal Astronomical Society" "A1" 86 "A2" 100
"128" "Nature" "A1" 98 "A1" 100
"129" "Nature Biotechnology" "A1" 98 "A1" 100
"130" "Nature Cell Biology" "A1" 96 "A1" 100
"131" "Nature Communications" "A1" 97 "A1" 100
"132" "Nature Genetics" "A1" 99 "A1" 100
"133" "New Phytologist" "A1" 98 "A1" 100
"134" "Nucleic Acids Research" "A1" 98 "A1" 100
"135" "Oecologia" "A1" 87 "A2" 100
"136" "Oikos" "A1" 90 "A1" 100
"137" "Organic Letters" "A1" 96 "A1" 100
"138" "Persoonia: Molecular Phylogeny and Evolution of Fungi" "A1" 97 "A1" 100
"139" "Perspectives in Plant Ecology, Evolution and Systematics" "A1" 86 "A2" 100
"140" "Pest Management Science" "A1" 95 "A1" 100
"141" "Pesticide Biochemistry and Physiology" "A1" 89 "A1" 100
"142" "Philosophical Transactions of the Royal Society B: Biological Sciences" "A1" 98 "A1" 100
"143" "Photosynthesis Research" "A1" 85 "A2" 100
"144" "Physiologia Plantarum" "A1" 87 "A2" 100
"145" "Phytochemistry" "A1" 95 "A1" 100
"146" "Phytopathology" "A1" 89 "A1" 100
"147" "Plant and Cell Physiology" "A1" 94 "A1" 100
"148" "Plant and Soil" "A1" 89 "A1" 100
"149" "Plant Biotechnology Journal" "A1" 99 "A1" 100
"150" "Plant Disease" "A1" 59 "A4" 100
"151" "Plant Journal" "A1" 97 "A1" 100
"152" "Plant Methods" "A1" 93 "A1" 100
"153" "Plant Molecular Biology" "A1" 92 "A1" 100
"154" "Plant Physiology" "A1" 97 "A1" 100
"155" "Plant Science" "A1" 94 "A1" 100
"156" "Plant, Cell and Environment" "A1" 96 "A1" 100
"157" "Planta" "A1" 88 "A1" 100
"158" "PLoS Biology" "A1" 98 "A1" 100
"159" "PLoS Genetics" "A1" 94 "A1" 100
"160" "PLoS ONE" "A1" 89 "A1" 100
"161" "PLoS Pathogens" "A1" 97 "A1" 100
"162" "Postharvest Biology and Technology" "A1" 99 "A1" 100
"163" "Proceedings of the National Academy of Sciences of the United States of America" "A1" 96 "A1" 100
"164" "Proceedings of the Royal Society B: Biological Sciences" "A1" 95 "A1" 100
"165" "Progress in Oceanography" "A1" 97 "A1" 100
"166" "Remote Sensing of Environment" "A1" 99 "A1" 100
"167" "Renewable and Sustainable Energy Reviews" "A1" 95 "A1" 100
"168" "Reviews in Fish Biology and Fisheries" "A1" 91 "A1" 100
"169" "Science" "A1" 98 "A1" 100
"170" "Soil Biology and Biochemistry" "A1" 98 "A1" 100
"171" "Systematic Biology" "A1" 98 "A1" 100
"172" "Systematic Entomology" "A1" 98 "A1" 100
"173" "Theoretical And Applied Genetics" "A1" 92 "A1" 100
"174" "Tree Physiology" "A1" 90 "A1" 100
"175" "Trends in Biotechnology" "A1" 98 "A1" 100
"176" "Trends in Ecology and Evolution" "A1" 99 "A1" 100
"177" "Trends in Microbiology" "A1" 97 "A1" 100
"178" "Trends in Plant Science" "A1" 99 "A1" 100
"179" "Water Research" "A1" 99 "A1" 100
"180" "Water Resources Research" "A1" 96 "A1" 100
"181" "Zoologica Scripta" "A1" 96 "A1" 100
"182" "Zoological Journal of the Linnean Society" "A1" 95 "A1" 100
"183" "ACS applied materials & interfaces" "A2" 94 "A1" 85
"184" "Acta Biomaterialia" "A2" 94 "A1" 85
"185" "Acta Physiologica" "A2" 75 "A3" 85
"186" "Advances in Ecological Research" "A2" 95 "A1" 85
"187" "Agricultural and Forest Entomology" "A2" 73 "A3" 85
"188" "Agronomy Journal" "A2" 79 "A2" 85
"189" "AIAA Journal" "A2" 86 "A2" 85
"190" "Algal Research" "A2" 94 "A1" 85
"191" "Allergy: European Journal of Allergy and Clinical Immunology" "A2" 88 "A1" 85
"192" "American Journal of Physical Anthropology" "A2" 95 "A1" 85
"193" "American Journal of Primatology" "A2" 81 "A2" 85
"194" "American Journal of Tropical Medicine and Hygiene" "A2" 62 "A4" 85
"195" "Amphibia - Reptilia" "A2" 61 "A4" 85
"196" "Animal Feed Science and Technology" "A2" 95 "A1" 85
"197" "Antarctic Science" "A2" 63 "A3" 85
"198" "Antimicrobial Agents and Chemotherapy" "A2" 92 "A1" 85
"199" "Antiviral Research" "A2" 87 "A2" 85
"200" "AoB PLANTS" "A2" 86 "A2" 85
"201" "Apidologie" "A2" 90 "A1" 85
"202" "Applied and Environmental Microbiology" "A2" 91 "A1" 85
"203" "Applied Energy" "A2" 99 "A1" 85
"204" "Applied Geochemistry" "A2" 78 "A2" 85
"205" "Applied Microbiology and Biotechnology" "A2" 82 "A2" 85
"206" "Applied Soil Ecology" "A2" 94 "A1" 85
"207" "Applied Vegetation Science" "A2" 84 "A2" 85
"208" "Aquatic Conservation: Marine and Freshwater Ecosystems" "A2" 86 "A2" 85
"209" "Aquatic Microbial Ecology" "A2" 76 "A2" 85
"210" "Aquatic Sciences" "A2" 77 "A2" 85
"211" "Arteriosclerosis, Thrombosis, and Vascular Biology" "A2" 94 "A1" 85
"212" "Arthropod Structure and Development" "A2" 73 "A3" 85
"213" "Arthropod Systematics and Phylogeny" "A2" 70 "A3" 85
"214" "Atmospheric Environment" "A2" 91 "A1" 85
"215" "Auk" "A2" 89 "A1" 85
"216" "Biochimica et Biophysica Acta - Bioenergetics" "A2" 91 "A1" 85
"217" "Biochimica et Biophysica Acta - General Subjects" "A2" 90 "A1" 85
"218" "BioControl" "A2" 88 "A1" 85
"219" "BioEssays" "A2" 81 "A2" 85
"220" "Biogeochemistry" "A2" 90 "A1" 85
"221" "Biogeosciences" "A2" 97 "A1" 85
"222" "Biological Control" "A2" 92 "A1" 85
"223" "Biology and Fertility of Soils" "A2" 99 "A1" 85
"224" "Biology Letters" "A2" 90 "A1" 85
"225" "Biology of Blood and Marrow Transplantation" "A2" 87 "A2" 85
"226" "Biology of Reproduction" "A2" 43 "B1" 85
"227" "Biology Open" "A2" 82 "A2" 85
"228" "Biomass and Bioenergy" "A2" 94 "A1" 85
"229" "BMC Evolutionary Biology" "A2" 86 "A2" 85
"230" "BMC Genomics" "A2" 79 "A2" 85
"231" "Botanical Journal of the Linnean Society" "A2" 90 "A1" 85
"232" "Brain, Behavior and Evolution" "A2" 25 "B3" 85
"233" "Bulletin of Entomological Research" "A2" 78 "A2" 85
"234" "Canadian Journal of Zoology" "A2" 67 "A3" 85
"235" "Carbohydrate Polymers" "A2" 97 "A1" 85
"236" "Catena" "A2" 95 "A1" 85
"237" "Cellular Microbiology" "A2" 79 "A2" 85
"238" "Chemosphere" "A2" 93 "A1" 85
"239" "Cladistics" "A2" 96 "A1" 85
"240" "Climatic Change" "A2" 88 "A1" 85
"241" "Colloids and Surfaces B: Biointerfaces" "A2" 85 "A2" 85
"242" "Comparative biochemistry and physiology. Part A, Molecular & integrative physiology" "A2" 46 "B1" 85
"243" "Condor" "A2" 93 "A1" 85
"244" "Conservation Genetics" "A2" 72 "A3" 85
"245" "Continental Shelf Research" "A2" 79 "A2" 85
"246" "Coral Reefs" "A2" 86 "A2" 85
"247" "Crop Science" "A2" 73 "A3" 85
"248" "Current Zoology" "A2" 92 "A1" 85
"249" "Dyes and Pigments" "A2" 86 "A2" 85
"250" "Ecological Engineering" "A2" 91 "A1" 85
"251" "Ecological Entomology" "A2" 84 "A2" 85
"252" "Ecological Indicators" "A2" 95 "A1" 85
"253" "Ecology and Society" "A2" 94 "A1" 85
"254" "Ecology of Freshwater Fish" "A2" 66 "A3" 85
"255" "Ecotoxicology and Environmental Safety" "A2" 97 "A1" 85
"256" "Electrochimica Acta" "A2" 93 "A1" 85
"257" "Endocrine-Related Cancer" "A2" 87 "A2" 85
"258" "Energy Policy" "A2" 95 "A1" 85
"259" "Environmental Conservation" "A2" 79 "A2" 85
"260" "Environmental Modelling and Software" "A2" 91 "A1" 85
"261" "Environmental Research" "A2" 94 "A1" 85
"262" "Environmental Toxicology and Chemistry" "A2" 77 "A2" 85
"263" "Estuaries and Coasts" "A2" 82 "A2" 85
"264" "Ethology" "A2" 77 "A2" 85
"265" "Ethology Ecology and Evolution" "A2" 54 "A4" 85
"266" "European Journal of Human Genetics" "A2" 72 "A3" 85
"267" "European Journal of Medicinal Chemistry" "A2" 94 "A1" 85
"268" "European Journal of Organic Chemistry" "A2" 74 "A3" 85
"269" "European Journal of Pharmaceutical Sciences" "A2" 85 "A2" 85
"270" "European Journal of Pharmaceutics and Biopharmaceutics" "A2" 96 "A1" 85
"271" "European Journal of Phycology" "A2" 80 "A2" 85
"272" "European Journal of Wildlife Research" "A2" 57 "A4" 85
"273" "Evolutionary Applications" "A2" 96 "A1" 85
"274" "Evolutionary Biology" "A2" 70 "A3" 85
"275" "Experimental and Applied Acarology" "A2" 78 "A2" 85
"276" "Expert Systems with Applications" "A2" 98 "A1" 85
"277" "FEBS Journal" "A2" 83 "A2" 85
"278" "FEMS Microbiology Ecology" "A2" 89 "A1" 85
"279" "Fish and Shellfish Immunology" "A2" 94 "A1" 85
"280" "Fisheries" "A2" 41 "B1" 85
"281" "Fisheries Oceanography" "A2" 80 "A2" 85
"282" "Fisheries Research" "A2" 72 "A3" 85
"283" "Food and Chemical Toxicology" "A2" 89 "A1" 85
"284" "Food Chemistry" "A2" 97 "A1" 85
"285" "Food Hydrocolloids" "A2" 97 "A1" 85
"286" "Food Research International" "A2" 91 "A1" 85
"287" "Fottea" "A2" 70 "A3" 85
"288" "Free Radical Biology and Medicine" "A2" 94 "A1" 85
"289" "Freshwater Science" "A2" 80 "A2" 85
"290" "Fuel" "A2" 95 "A1" 85
"291" "Functional Plant Biology" "A2" 80 "A2" 85
"292" "Fungal Biology Reviews" "A2" 84 "A2" 85
"293" "Fungal Ecology" "A2" 90 "A1" 85
"294" "Fungal Genetics and Biology" "A2" 75 "A3" 85
"295" "Genetics" "A2" 76 "A2" 85
"296" "Genome Biology and Evolution" "A2" 90 "A1" 85
"297" "Geoderma" "A2" 93 "A1" 85
"298" "Global and Planetary Change" "A2" 97 "A1" 85
"299" "Harmful Algae" "A2" 97 "A1" 85
"300" "Herpetological Monographs" "A2" 84 "A2" 85
"301" "Hormones and Behavior" "A2" 96 "A1" 85
"302" "Human Molecular Genetics" "A2" 88 "A1" 85
"303" "Human Mutation" "A2" 86 "A2" 85
"304" "Ibis" "A2" 86 "A2" 85
"305" "Icarus" "A2" 75 "A3" 85
"306" "ICES Journal of Marine Science" "A2" 90 "A1" 85
"307" "IMA Fungus" "A2" 89 "A1" 85
"308" "Immunology" "A2" 78 "A2" 85
"309" "Industrial & Engineering Chemistry Research" "A2" 85 "A2" 85
"310" "Insect Conservation and Diversity" "A2" 88 "A1" 85
"311" "Insect Systematics and Evolution" "A2" 58 "A4" 85
"312" "Insects" "A2" 87 "A2" 85
"313" "International Journal of Climatology" "A2" 83 "A2" 85
"314" "International Journal of Multiphase Flow" "A2" 88 "A1" 85
"315" "International Journal of Primatology" "A2" 78 "A2" 85
"316" "Invertebrate Systematics" "A2" 72 "A3" 85
"317" "Journal for Nature Conservation" "A2" 80 "A2" 85
"318" "Journal fur Ornithologie" "A2" 76 "A2" 85
"319" "Journal of Analytical Atomic Spectrometry" "A2" 80 "A2" 85
"320" "Journal of Anatomy" "A2" 81 "A2" 85
"321" "Journal of Antimicrobial Chemotherapy" "A2" 91 "A1" 85
"322" "Journal of Apicultural Research" "A2" 71 "A3" 85
"323" "Journal of Applied Entomology" "A2" 80 "A2" 85
"324" "Journal of Applied Phycology" "A2" 85 "A2" 85
"325" "Journal of Arid Environments" "A2" 76 "A2" 85
"326" "Journal of Biological Chemistry" "A2" 81 "A2" 85
"327" "Journal of Cellular and Molecular Medicine" "A2" 82 "A2" 85
"328" "Journal of Chemical Ecology" "A2" 80 "A2" 85
"329" "Journal of Chromatography A" "A2" 82 "A2" 85
"330" "Journal of Clinical Microbiology" "A2" 83 "A2" 85
"331" "Journal of Colloid and Interface Science" "A2" 92 "A1" 85
"332" "Journal of Comparative Physiology A: Neuroethology, Sensory, Neural, and Behavioral Physiology" "A2" 78 "A2" 85
"333" "Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology" "A2" 89 "A1" 85
"334" "Journal of Economic Entomology" "A2" 78 "A2" 85
"335" "Journal of Environmental Management" "A2" 95 "A1" 85
"336" "Journal of Experimental Biology" "A2" 91 "A1" 85
"337" "Journal of Experimental Zoology Part B: Molecular and Developmental Evolution" "A2" 82 "A2" 85
"338" "Journal of Field Ornithology" "A2" 65 "A3" 85
"339" "Journal of Fish Diseases" "A2" 66 "A3" 85
"340" "Journal of Food Processing and Preservation" "A2" 57 "A4" 85
"341" "Journal of Geophysical Research" "A2" 99 "A1" 85
"342" "Journal of Helminthology" "A2" 68 "A3" 85
"343" "Journal of Hydrology" "A2" 96 "A1" 85
"344" "Journal of Immunology" "A2" 82 "A2" 85
"345" "Journal of Insect Physiology" "A2" 91 "A1" 85
"346" "Journal of Invertebrate Pathology" "A2" 82 "A2" 85
"347" "Journal of Mammalian Evolution" "A2" 68 "A3" 85
"348" "Journal of Mammalogy" "A2" 90 "A1" 85
"349" "Journal of Medical Entomology" "A2" 87 "A2" 85
"350" "Journal of Neurochemistry" "A2" 83 "A2" 85
"351" "Journal of Paleolimnology" "A2" 73 "A3" 85
"352" "Journal of Pharmacology and Experimental Therapeutics" "A2" 81 "A2" 85
"353" "Journal of Physics A: Mathematical and Theoretical" "A2" 81 "A2" 85
"354" "Journal of Pineal Research" "A2" 98 "A1" 85
"355" "Journal of Plankton Research" "A2" 75 "A3" 85
"356" "Journal of Plant Growth Regulation" "A2" 84 "A2" 85
"357" "Journal of Plant Physiology" "A2" 88 "A1" 85
"358" "Journal of Proteome Research" "A2" 85 "A2" 85
"359" "Journal of Sea Research" "A2" 72 "A3" 85
"360" "Journal of the Royal Society Interface" "A2" 87 "A2" 85
"361" "Journal of Thermal Biology" "A2" 85 "A2" 85
"362" "Journal of Wildlife Management" "A2" 68 "A3" 85
"363" "Journal of Zoological Systematics and Evolutionary Research" "A2" 96 "A1" 85
"364" "Journal of Zoology" "A2" 81 "A2" 85
"365" "Livestock Science" "A2" 84 "A2" 85
"366" "Mammalian Biology" "A2" 76 "A2" 85
"367" "Marine Biotechnology" "A2" 87 "A2" 85
"368" "Marine Environmental Research" "A2" 95 "A1" 85
"369" "Marine Mammal Science" "A2" 71 "A3" 85
"370" "Medical and Veterinary Entomology" "A2" 93 "A1" 85
"371" "Molecular Breeding" "A2" 79 "A2" 85
"372" "Mycologia" "A2" 83 "A2" 85
"373" "Mycorrhiza" "A2" 88 "A1" 85
"374" "Myrmecological News" "A2" 84 "A2" 85
"375" "Nanoscale" "A2" 91 "A1" 85
"376" "Nature Geoscience" "A2" 99 "A1" 85
"377" "Neurobiology of Learning and Memory" "A2" 83 "A2" 85
"378" "Neuropharmacology" "A2" 90 "A1" 85
"379" "Organic and Biomolecular Chemistry" "A2" 79 "A2" 85
"380" "Organic Geochemistry" "A2" 64 "A3" 85
"381" "Organisms Diversity and Evolution" "A2" 75 "A3" 85
"382" "Oryx" "A2" 76 "A2" 85
"383" "Palaeogeography, Palaeoclimatology, Palaeoecology" "A2" 91 "A1" 85
"384" "Parasitology" "A2" 87 "A2" 85
"385" "Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences" "A2" 97 "A1" 85
"386" "Physica A: Statistical Mechanics and its Applications" "A2" 91 "A1" 85
"387" "Physical Review E" "A2" 86 "A2" 85
"388" "Physiological and Biochemical Zoology" "A2" 83 "A2" 85
"389" "Physiological Entomology" "A2" 67 "A3" 85
"390" "Phytochemistry Reviews" "A2" 95 "A1" 85
"391" "Phytomedicine" "A2" 96 "A1" 85
"392" "Plant Biology" "A2" 82 "A2" 85
"393" "Plant Cell Reports" "A2" 90 "A1" 85
"394" "Plant Cell, Tissue and Organ Culture" "A2" 91 "A1" 85
"395" "Plant Ecology and Diversity" "A2" 60 "A4" 85
"396" "Plant Foods for Human Nutrition" "A2" 83 "A2" 85
"397" "Plant Growth Regulation" "A2" 86 "A2" 85
"398" "Plant Molecular Biology Reporter" "A2" 74 "A3" 85
"399" "Plant Pathology" "A2" 90 "A1" 85
"400" "Plant Physiology and Biochemistry" "A2" 91 "A1" 85
"401" "Plant Reproduction" "A2" 85 "A2" 85
"402" "Planta Medica" "A2" 88 "A1" 85
"403" "Polar Biology" "A2" 81 "A2" 85
"404" "Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences" "A2" 95 "A1" 85
"405" "Proceedings of the Royal Society B: Biological Sciences" "A2" 95 "A1" 85
"406" "Progress in Neuro-Psychopharmacology and Biological Psychiatry" "A2" 87 "A2" 85
"407" "Proteomics" "A2" 67 "A3" 85
"408" "Protoplasma" "A2" 83 "A2" 85
"409" "Quaternary Science Reviews" "A2" 99 "A1" 85
"410" "Renewable Energy" "A2" 87 "A2" 85
"411" "Reproduction, Fertility and Development" "A2" 80 "A2" 85
"412" "Review of Palaeobotany and Palynology" "A2" 81 "A2" 85
"413" "Risk Analysis" "A2" 81 "A2" 85
"414" "Schizophrenia Research" "A2" 91 "A1" 85
"415" "Science of the Total Environment" "A2" 96 "A1" 85
"416" "Seminars in Cell and Developmental Biology" "A2" 87 "A2" 85
"417" "Sensors and Actuators, B: Chemical" "A2" 97 "A1" 85
"418" "Separation and Purification Technology" "A2" 88 "A1" 85
"419" "Soil and Tillage Research" "A2" 99 "A1" 85
"420" "Systematics and Biodiversity" "A2" 80 "A2" 85
"421" "Talanta" "A2" 87 "A2" 85
"422" "Taxon" "A2" 59 "A4" 85
"423" "Tourism Management" "A2" 99 "A1" 85
"424" "Trends in Parasitology" "A2" 95 "A1" 85
"425" "Tropical Medicine and International Health" "A2" 79 "A2" 85
"426" "Urban Ecosystems" "A2" 90 "A1" 85
"427" "Vegetation History and Archaeobotany" "A2" 96 "A1" 85
"428" "Waste Management" "A2" 91 "A1" 85
"429" "Weed Science" "A2" 80 "A2" 85
"430" "Yeast" "A2" 65 "A3" 85
"431" "Zebrafish" "A2" 80 "A2" 85
"432" "Zoologischer Anzeiger" "A2" 73 "A3" 85
"433" "Zoology" "A2" 78 "A2" 85
"434" "Acarologia" "B1" 54 "A4" 70
"435" "ACS Chemical Biology" "B1" 85 "A2" 70
"436" "Acta Chiropterologica" "B1" 72 "A3" 70
"437" "Acta Ethologica" "B1" 70 "A3" 70
"438" "Acta Oecologica" "B1" 64 "A3" 70
"439" "Acta Ornithologica" "B1" 72 "A3" 70
"440" "Acta Palaeontologica Polonica" "B1" 77 "A2" 70
"441" "Acta Physiologiae Plantarum" "B1" 75 "A3" 70
"442" "Acta Tropica" "B1" 75 "A3" 70
"443" "Adsorption" "B1" 69 "A3" 70
"444" "Advances in Marine Biology" "B1" 71 "A3" 70
"445" "Advances in the Study of Behavior" "B1" 97 "A1" 70
"446" "African Journal of Marine Science" "B1" 43 "B1" 70
"447" "Agricultural Water Management" "B1" 94 "A1" 70
"448" "Alcohol" "B1" 87 "A2" 70
"449" "Algae" "B1" 75 "A3" 70
"450" "Ambio" "B1" 97 "A1" 70
"451" "American Anthropologist" "B1" 83 "A2" 70
"452" "American Antiquity" "B1" 99 "A1" 70
"453" "American Journal of Chinese Medicine" "B1" 95 "A1" 70
"454" "American Journal of Enology and Viticulture" "B1" 82 "A2" 70
"455" "American Journal of Human Biology" "B1" 89 "A1" 70
"456" "American Journal of Medical Genetics, Part B: Neuropsychiatric Genetics" "B1" 86 "A2" 70
"457" "American Journal of Reproductive Immunology" "B1" 88 "A1" 70
"458" "American Malacological Bulletin" "B1" 34 "B2" 70
"459" "American Museum Novitates" "B1" 97 "A1" 70
"460" "Amino Acids" "B1" 73 "A3" 70
"461" "Analytical and Bioanalytical Chemistry" "B1" 75 "A3" 70
"462" "Animal" "B1" 85 "A2" 70
"463" "Animal Welfare" "B1" 87 "A2" 70
"464" "Annales Zoologici" "B1" 34 "B2" 70
"465" "Annales Zoologici Fennici" "B1" 57 "A4" 70
"466" "Annals of Applied Biology" "B1" 75 "A3" 70
"467" "Annals of Forest Science" "B1" 88 "A1" 70
"468" "Annals of Human Biology" "B1" 58 "A4" 70
"469" "Annals of Internal Medicine" "B1" 91 "A1" 70
"470" "Annals of the Entomological Society of America" "B1" 70 "A3" 70
"471" "Annals of the Missouri Botanical Garden" "B1" 89 "A1" 70
