"titulo" "P.ISSN" "E.ISSN" "qIF"
"216" "Antiquaries Journal" "00035815" "" 89
"217" "Antiquity" "0003598X" "" 98
"218" "Aperture" "00036420" "" 37
"219" "Apollo" "00036536" "" 8
"220" "Applied Acoustics" "0003682X" "" 81
"221" "Applied Economics" "00036846" "" 55
"222" "Applied Ergonomics" "00036870" "" 92
"223" "Applied Solar Energy (English translation of Geliotekhnika)" "0003701X" "" 29
"224" "Applied Spectroscopy" "00037028" "" 68
"225" "Archaeology in Oceania" "00038121" "" 86
"226" "Archeologia Polski" "00038180" "" 4
"227" "Architectural Design" "00038504" "" 80
"228" "Architectural Digest" "00038520" "" 8
"229" "Architectural Record" "0003858X" "" 18
"230" "Architectural Science Review" "00038628" "" 85
"231" "Architecture d'Aujourd Hui" "00038695" "" 8
"232" "Archiv fur das Studium der neueren Sprachen und Literaturen" "00038970" "" 32
"233" "Archiv fur Lebensmittelhygiene" "0003925X" "" 11
"234" "Archiv fur Molluskenkunde" "00039284" "" 33
"235" "Archiv fur Musikwissenschaft" "00039292" "" 17
"236" "Archiv fur Reformationsgeschichte" "00039381" "" 14
"237" "Archives Animal Breeding" "00039438" "" 57
"238" "Archives" "00039535" "" 30
"239" "Archives de Philosophie" "00039632" "" 24
"240" "Archives Italiennes de Biologie" "00039829" "" 15
"241" "Archives of American Art Journal" "00039853" "" 60
"242" "Archives of Disease in Childhood" "00039888" "" 77
"243" "Archives of Oral Biology" "00039969" "" 82
"244" "Archives of Pathology and Laboratory Medicine" "00039985" "" 94
"245" "Archivos de Zootecnia" "00040592" "" 22
"246" "Archivos Latinoamericanos de Nutricion" "00040622" "" 18
"247" "Archivum Franciscanum Historicum" "00040665" "" 36
"248" "Archivum Immunologiae et Therapiae Experimentalis" "0004069X" "" 65
"249" "Arctic" "00040843" "" 54
"250" "Arethusa" "00040975" "" 79
"251" "Das Argument" "00041157" "" 27
"252" "Ariel" "00041327" "" 82
"253" "Arkansas Historical Quarterly" "00041823" "" 59
"254" "Arkhiv Patologii" "00041955" "" 16
"255" "Arkiv for Matematik" "00042080" "" 64
"256" "Arquivos Brasileiros de Oftalmologia" "00042749" "" 42
"257" "Arquivos de Gastroenterologia" "00042803" "" 32
"258" "Arquivos de Neuro-Psiquiatria" "0004282X" "" 28
"259" "Art Bulletin" "00043079" "" 81
"260" "Art in America" "00043214" "" 18
"261" "Art Journal" "00043249" "" 32
"262" "ARTnews" "00043273" "" 8
"263" "Arte Cristiana" "00043400" "" 8
"264" "Artibus Asiae" "00043648" "" 53
"265" "Artificial Intelligence" "00043702" "" 99
"266" "Arts of Asia" "00044083" "" 18
"267" "Asian Survey" "00044687" "" 50
"268" "Revista de la Asociacion Geologica Argentina" "00044822" "" 23
"269" "Bulletin de L'Association de Geographes Francais" "00045322" "" 8
"270" "Journal of the ACM" "00045411" "" 82
"271" "Annals of Clinical Biochemistry" "00045632" "" 29
"272" "The Journal of the Association of Physicians of India" "00045772" "" 41
"273" "Publication of the Astronomical Society of Japan" "00046264" "" 60
"274" "Atene e Roma" "00046493" "" 5
"275" "Athenaeum" "00046574" "" 57
"276" "Augustiniana" "00048003" "" 21
"277" "Auk" "00048038" "" 89
"278" "Australasian Journal of Philosophy" "00048402" "" 90
"279" "Australian and New Zealand Journal of Criminology" "00048658" "" 86
"280" "Journal of the Australian Ceramic Society" "0004881X" "" 32
"281" "Australian Forestry" "00049158" "" 57
"282" "Australian Journal of Education" "00049441" "" 73
"283" "Australian Journal of French Studies" "00049468" "" 37
"284" "Australian Journal of Psychology" "00049530" "" 54
"285" "Australian Journal of Zoology" "0004959X" "" 44
"286" "Australian Literary Studies" "00049697" "" 32
"287" "Bulletin of the Australian Mathematical Society" "00049727" "" 45
"288" "Australian Mining" "0004976X" "" 12
"289" "Australian Psychologist" "00050067" "" 56
"290" "Australian Veterinary Journal" "00050423" "" 46
"291" "Aut Aut" "00050601" "" 9
"292" "Automatica" "00051098" "" 97
"293" "Automatika" "00051144" "" 28
"294" "Avian Diseases" "00052086" "" 70
"295" "Aviation Week and Space Technology" "00052175" "" 3
"296" "Azerbaijan Medical Journal" "00052523" "" 1
"297" "Biochimica et Biophysica Acta - Bioenergetics" "00052728" "" 91
"298" "Biochimica et Biophysica Acta - Biomembranes" "00052736" "" 85
"299" "Bach" "00053600" "" 39
"300" "Bauingenieur" "00056650" "" 24
"301" "Behavior Therapy" "00057894" "" 92
"302" "Journal of Behavior Therapy and Experimental Psychiatry" "00057916" "" 87
"303" "Behaviour Research and Therapy" "00057967" "" 97
"304" "Beitrage zur Geschichte der Deutschen Sprache und Literatur" "00058076" "" 83
"305" "Berichte uber Landwirtschaft" "00059080" "" 14
"306" "Betriebswirtschaftliche Forschung und Praxis" "0006002X" "" 13
"307" "Bibel und Kirche" "00060623" "" 14
"308" "Bulletin des Bibliotheques de France" "00062006" "" 1
"309" "Biblische Zeitschrift" "00062014" "" 43
"310" "Bijdragen tot de Taal-, Land- en Volkenkunde" "00062294" "" 81
"311" "Biochemical Pharmacology" "00062952" "" 90
"312" "Biological Bulletin" "00063185" "" 73
"313" "Biological Conservation" "00063207" "" 95
"314" "Biological Psychiatry" "00063223" "" 98
"315" "Proceedings of the Biological Society of Washington" "0006324X" "" 35
"316" "Biologist" "00063347" "" 4
"317" "Biophysics (Russian Federation)" "00063509" "" 14
"318" "Biorheology" "0006355X" "" 33
"319" "BioScience" "00063568" "" 94
"320" "Biotropica" "00063606" "" 83
"321" "Bird Study" "00063657" "" 51
"322" "Black Scholar" "00064246" "" 83
"323" "Blumea: Journal of Plant Taxonomy and Plant Geography" "00065196" "" 40
"324" "Bodenkultur" "00065471" "" 23
"325" "Bogoslovni Vestnik" "00065722" "" 93
"326" "Bollettino di Geofisica Teorica ed Applicata" "00066729" "" 29
"327" "BPA Applied Psychology Bulletin" "00066761" "" 23
"328" "Journal of the Bombay Natural History Society" "00066982" "" 3
"329" "Boston University Law Review" "00068047" "" 56
"330" "The Botanical Review" "00068101" "" 87
"331" "Brain Research" "00068993" "" 79
"332" "Bratislavske Lekarske Listy" "00069248" "" 66
"333" "British Birds" "00070335" "" 14
"334" "British Columbia Medical Journal" "00070556" "" 14
"335" "British Dental Journal" "00070610" "" 25
"336" "British Food Journal" "0007070X" "" 69
"337" "JBIS - Journal of the British Interplanetary Society" "0007084X" "" 13
"338" "British Journal of Educational Psychology" "00070998" "" 94
"339" "British Journal of Mathematical and Statistical Psychology" "00071102" "" 84
"340" "British Journal of Ophthalmology" "00071161" "" 95
"341" "British Journal of Pharmacology" "00071188" "" 96
"342" "British Journal of Psychology" "00071269" "" 90
"343" "British Journal of Radiology" "00071285" "" 71
"344" "Bulletin of the British Ornithologists' Club" "00071595" "" 10
"345" "Journal of the British Society for Phenomenology" "00071773" "" 48
"346" "Brittonia" "0007196X" "" 40
"347" "Brodogradnja" "0007215X" "" 51
"348" "Bryologist" "00072745" "" 72
"349" "Bulletin de Correspondance Hellenique" "00074217" "" 12
"350" "Bulletin de Litterature Ecclesiastique" "00074322" "" 21
"351" "Bulletin des Sciences Mathematiques" "00074497" "" 74
"352" "Bulletin du Cancer" "00074551" "" 20
"353" "Bulletin Hispanique" "00074640" "" 16
"354" "Bullentin of Canadian Petroleum Geology" "00074802" "" 49
"355" "Bulletin of Marine Science" "00074977" "" 55
"356" "Laboratory Medicine" "00075027" "" 20
"357" "Bulletin of the Comediantes" "00075108" "" 27
"358" "Business and Society" "00076503" "" 98
"359" "Business Economics" "0007666X" "" 18
"360" "Business History" "00076791" "" 97
"361" "Business History Review" "00076805" "" 95
"362" "Business Horizons" "00076813" "" 92
"363" "Business Lawyer" "00076899" "" 32
"364" "Byzantinische Zeitschrift" "00077704" "" 63
"365" "Canadian Review of American Studies" "00077720" "" 21
"366" "CEA Critic" "00078069" "" 27
"367" "CIRP Annals - Manufacturing Technology" "00078506" "" 96
"368" "CLA Journal" "00078549" "" 16
"369" "Cahiers de Biologie Marine" "00079723" "" 18
"370" "Cahiers de Civilisation Medievale" "00079731" "" 48
"371" "Cahiers de Geographie de Quebec" "00079766" "" 6
"372" "Cahiers de Lexicologie" "00079871" "" 46
"373" "Cahiers de Nutrition et de Dietetique" "00079960" "" 10
"374" "Cahiers d'Etudes Africaines" "00080055" "" 49
"375" "California Fish and Game" "00081078" "" 10
"376" "California Law Review" "00081221" "" 83
"377" "California Management Review" "00081256" "" 96
"378" "Calvin Theological Journal" "00081795" "" 5
"379" "Cambridge Law Journal" "00081973" "" 36
"380" "Canadian Entomologist" "0008347X" "" 57
"381" "Canadian Field-Naturalist" "00083550" "" 9
"382" "The Canadian Historical Review" "00083755" "" 74
"383" "Canadian Journal of African Studies" "00083968" "" 72
"384" "Canadian Journal of Agricultural Economics" "00083976" "" 58
"385" "Canadian Journal of Animal Science" "00083984" "" 50
"386" "Canadian Journal of Behavioural Science" "0008400X" "" 52
"387" "Canadian Journal of Chemical Engineering" "00084034" "" 59
"388" "Canadian Journal of Earth Sciences" "00084077" "" 67
"389" "Canadian Journal of Economics" "00084085" "" 45
"390" "Canadian Journal of History" "00084107" "" 35
"391" "Canadian Journal of Hospital Pharmacy" "00084123" "" 66
"392" "Canadian Journal of Linguistics" "00084131" "" 63
"393" "Canadian Journal of Occupational Therapy" "00084174" "" 70
"394" "Canadian Journal of Ophthalmology" "00084182" "" 38
"395" "Canadian Journal of Plant Science" "00084220" "" 43
"396" "Canadian Journal of Political Science" "00084239" "" 54
"397" "Canadian Journal of Public Health" "00084263" "" 43
"398" "Canadian Journal of Soil Science" "00084271" "" 36
"399" "Studies in Religion-Sciences Religieuses" "00084298" "" 75
"400" "Canadian Literature" "00084360" "" 48
"401" "Canadian Metallurgical Quarterly" "00084433" "" 59
"402" "Canadian Mineralogist" "00084476" "" 38
"403" "Canadian Mining Journal" "00084492" "" 9
"404" "Canadian Modern Language Review" "00084506" "" 72
"405" "Canadian Packaging" "00084654" "" 10
"406" "Canadian Public Administration" "00084840" "" 66
"407" "Canadian Slavonic Papers" "00085006" "" 89
"408" "Journal of the Canadian Society of Forensic Science" "00085030" "" 28
"409" "Canadian Veterinary Journal" "00085286" "" 40
"410" "Cancer Research" "00085472" "" 95
"411" "Carbohydrate Research" "00086215" "" 56
"412" "Carbon" "00086223" "" 93
"413" "Cardiovascular Research" "00086363" "" 93
"414" "Cartographic Journal" "00087041" "" 55
"415" "Caryologia" "00087114" "" 62
"416" "Castanea" "00087475" "" 26
"417" "Catholic University Law Review" "00088390" "" 71
"418" "Catholica" "00088501" "" 69
"419" "Cement and Concrete Research" "00088846" "" 99
"420" "Central Asiatic Journal" "00089192" "" 51
"421" "Central European History" "00089389" "" 84
"422" "Cereal Chemistry" "00090352" "" 53
"423" "Ceska Literatura" "00090468" "" 48
"424" "Transactions of the Charles S. Peirce Society" "00091774" "" 53
"425" "Chemical and Petroleum Engineering (English translation of Khimicheskoe i Neftyanoe Mashinostroenie)" "00092355" "" 22
"426" "Chemical Engineering Science" "00092509" "" 86
"427" "Chemical Engineering World" "00092517" "" 9
"428" "Chemical Geology" "00092541" "" 90
"429" "Chemical Physics Letters" "00092614" "" 62
"430" "Chemical Processing" "00092630" "" 2
"431" "Chemico-Biological Interactions" "00092797" "" 82
"432" "Chemie der Erde" "00092819" "" 73
"433" "Chemist" "00093025" "" 20
"434" "Chemistry and Industry (London)" "00093068" "" 2
"435" "Chemistry and Physics of Lipids" "00093084" "" 75
"436" "Chicago Review" "00093696" "" 21
"437" "Chimia" "00094293" "" 40
"438" "China Report" "00094455" "" 53
"439" "Journal of the Chinese Chemical Society" "00094536" "" 45
"440" "Chinese Law and Government" "00094609" "" 4
"441" "Chirurg" "00094722" "" 27
"442" "Chirurgische Praxis" "00094846" "" 0
"443" "Chromatographia" "00095893" "" 39
"444" "Chronique d'Egypte" "00096067" "" 30
"445" "Church History" "00096407" "" 80
"446" "University of Cincinnati Law Review" "00096881" "" 35
"447" "Cineforum" "00097039" "" 8
"448" "Circular Farmaceutica" "00097314" "" 1
"449" "Cirugia y Cirujanos" "00097411" "" 23
"450" "Citeaux" "00097497" "" 5
"451" "Cithara" "00097527" "" 7
"452" "Classical Journal" "00098353" "" 70
"453" "Clays and Clay Minerals" "00098604" "" 69
"454" "Cleveland state law review" "00098876" "" 35
"455" "Clinica Chimica Acta" "00098981" "" 75
"456" "Clinica Terapeutica" "00099074" "" 73
"457" "Clinical Biochemistry" "00099120" "" 51
"458" "Clinical Neurology" "0009918X" "" 15
"459" "Clinical Pediatrics" "00099228" "" 49
"460" "Clinical Pharmacology and Therapeutics" "00099236" "" 94
"461" "Cocuk Sagligi ve Hastaliklari Dergisi" "00100161" "" 4
"462" "Cognition" "00100277" "" 99
"463" "Coleopterists Bulletin" "0010065X" "" 20
"464" "Collectanea Mathematica" "00100757" "" 67
"465" "College and Research Libraries" "00100870" "" 84
"466" "College Composition and Communication" "0010096X" "" 96
"467" "College English" "00100994" "" 81
"468" "Coloquio-Letras" "00101451" "" 7
"469" "Colourage" "00101826" "" 9
"470" "Columbia Journal of Law and Social Problems" "00101923" "" 30
"471" "Columbia Journal of Transnational Law" "00101931" "" 70
"472" "Columbia Law Review" "00101958" "" 82
"473" "Combustion and Flame" "00102180" "" 93
"474" "Communio Viatorum" "00103713" "" 14
"475" "Comparative Drama" "00104078" "" 63
"476" "Comparative Literature" "00104124" "" 89
"477" "Comparative Political Studies" "00104140" "" 97
"478" "Comparative Politics" "00104159" "" 86
"479" "CAD Computer Aided Design" "00104485" "" 88
"480" "Computer Physics Communications" "00104655" "" 91
"481" "Computers in Biology and Medicine" "00104825" "" 75
"482" "Concrete Construction - World of Concrete" "00105333" "" 5
"483" "Condor" "00105422" "" 93
"484" "Confrontation" "00105716" "" 7
"485" "Connecticut Medicine" "00106178" "" 25
"486" "Consultant" "00107069" "" 6
"487" "Contemporary Psychoanalysis" "00107530" "" 25
"488" "Contraception" "00107824" "" 78
"489" "Contributions to Mineralogy and Petrology" "00107999" "" 85
"490" "Control Engineering" "00108049" "" 3
"491" "Converter" "00108189" "" 4
"492" "Convivium" "00108235" "" 27
"493" "Cooperation and Conflict" "00108367" "" 93
"494" "Coordination Chemistry Reviews" "00108545" "" 99
"495" "Cor et Vasa" "00108650" "" 20
"496" "Cornell International Law Journal" "00108812" "" 79
"497" "Cornell Law Review" "00108847" "" 78
"498" "Corrosion" "00109312" "" 70
"499" "Corrosion Science" "0010938X" "" 95
"500" "Cortex" "00109452" "" 91
"501" "Bulletin of the Council for Research in Music Education" "00109894" "" 70
"502" "Counseling Psychologist" "00110000" "" 57
"503" "Counselor Education and Supervision" "00110035" "" 70
"504" "Crime and Delinquency" "00111287" "" 95
"505" "Criminology" "00111384" "" 99
"506" "Critica-Revista Hispanoamericana de Filosofia" "00111503" "" 32
"507" "Critique - Studies in Contemporary Fiction" "00111619" "" 85
"508" "Crustaceana" "0011216X" "" 29
"509" "Cryogenics" "00112275" "" 56
"510" "Cuadernos Hispanoamericanos" "0011250X" "" 14
"511" "Current History" "00113530" "" 70
"512" "Current Problems in Surgery" "00113840" "" 36
"513" "Current Science" "00113891" "" 59
"514" "Current Sociology" "00113921" "" 83
"515" "Current Therapeutic Research - Clinical and Experimental" "0011393X" "" 47
"516" "Cutis" "00114162" "" 24
"517" "Cutting Tool Engineering" "00114189" "" 4
"518" "Cytologia" "00114545" "" 43
"519" "Disease-a-Month" "00115029" "" 66
"520" "Dados" "00115258" "" 45
"521" "Dalhousie Review" "00115827" "" 7
"522" "Dance Magazine" "00116009" "" 8
"523" "Dancing Times" "0011605X" "" 8
"524" "Darwiniana" "00116793" "" 25
"525" "Defence Science Journal" "0011748X" "" 34
"526" "Dental Cadmos" "00118524" "" 5
"527" "Dental Clinics of North America" "00118532" "" 69
"528" "Desalination" "00119164" "" 98
"529" "Design Engineering (Toronto)" "00119342" "" 0
"530" "Deutsch als Fremdsprache" "00119741" "" 33
